product_id,repeat_intervals,mean_interval_days
984677,139,15.697841726618705
1022119,139,65.92805755395683
934639,138,62.471014492753625
900491,138,63.072463768115945
871061,138,59.54347826086956
1057102,138,29.652173913043477
1003421,138,67.47101449275362
824555,137,67.97810218978103
6534480,137,60.941605839416056
1028891,137,28.846715328467152
972312,136,33.6985294117647
969932,136,41.86029411764706
901776,136,36.970588235294116
852856,136,76.27941176470588
8203834,136,40.330882352941174
12810391,136,90.1470588235294
1048257,136,32.375
960732,135,60.28888888888889
916990,135,24.62962962962963
896444,135,42.36296296296296
869577,135,61.18518518518518
855672,135,65.5037037037037
6534035,135,54.55555555555556
1122568,135,56.60740740740741
1063207,135,45.84444444444444
10121965,135,68.28148148148148
976955,134,79.28358208955224
955043,134,23.291044776119403
833723,134,48.64179104477612
1108094,134,37.76119402985075
934369,133,42.097744360902254
906262,133,55.40601503759399
868423,133,53.774436090225564
1092937,133,51.150375939849624
1085476,133,44.26315789473684
1056746,133,46.19548872180451
1029968,133,42.097744360902254
1018050,133,42.1203007518797
919423,132,34.47727272727273
912681,132,57.10606060606061
860299,132,36.61363636363637
6632283,132,8.507575757575758
1019637,132,22.78787878787879
892573,131,22.03053435114504
831628,131,78.62595419847328
6534077,131,60.732824427480914
1070845,131,43.70229007633588
1068292,131,70.29770992366412
1048727,131,38.47328244274809
1007136,131,55.6793893129771
965719,130,59.48461538461538
902167,130,79.27692307692308
852864,130,68.38461538461539
6533608,130,47.0
5584620,130,46.761538461538464
5565925,130,28.907692307692308
1084331,130,67.63846153846154
1071377,130,51.34615384615385
1031864,130,40.323076923076925
965772,129,17.8062015503876
919644,129,42.23255813953488
12731544,129,62.0
12648296,129,47.286821705426355
985427,128,68.0078125
929018,128,43.53125
908213,128,57.84375
895166,128,64.03125
879635,128,36.65625
834833,128,42.3046875
8011282,128,27.2734375
6773204,128,32.1171875
1107289,128,58.1875
1100972,128,75.328125
1092948,128,52.484375
1070272,128,50.2109375
1046545,128,21.28125
983795,127,16.275590551181104
961269,127,58.826771653543304
1117393,127,34.62204724409449
1055853,127,43.031496062992126
956609,126,59.04761904761905
951197,126,83.37301587301587
908489,126,41.23809523809524
898847,126,41.53174603174603
868075,126,70.03174603174604
5587043,126,26.452380952380953
13189726,126,32.0
1088147,126,45.111111111111114
1072523,126,58.476190476190474
998119,125,69.856
866950,125,34.824
1097398,125,8.288
1041157,125,43.256
984715,124,64.15322580645162
969419,124,33.346774193548384
9527160,124,49.95161290322581
894439,124,29.975806451612904
8203451,124,36.854838709677416
1059891,124,34.314516129032256
1046584,124,40.95161290322581
1046262,124,69.14516129032258
1027068,124,66.65322580645162
1022981,124,76.74193548387096
957951,123,45.203252032520325
894511,123,60.8780487804878
872729,123,36.51219512195122
856060,123,41.45528455284553
844818,123,42.4390243902439
6463658,123,56.51219512195122
5586942,123,38.51219512195122
1129576,123,54.4390243902439
1082310,123,58.41463414634146
907099,122,36.09016393442623
877447,122,51.68852459016394
846823,122,59.98360655737705
7167249,122,34.14754098360656
1044188,122,38.67213114754098
1007191,122,67.6311475409836
986394,121,61.66942148760331
934399,121,37.46280991735537
896938,121,66.3305785123967
831536,121,42.710743801652896
1094924,121,39.14876033057851
1077703,121,65.3801652892562
1058554,121,38.82644628099174
993441,120,31.975
989069,120,71.05
976864,120,39.766666666666666
952163,120,21.416666666666668
944486,120,49.875
911470,120,62.38333333333333
905913,120,86.59166666666667
897306,120,66.89166666666667
820560,120,38.425
6034964,120,37.483333333333334
15926886,120,21.533333333333335
1131550,120,53.725
1104349,120,28.25
1051468,120,46.825
1044805,120,43.725
981521,119,67.61344537815125
9445919,119,63.32773109243698
932006,119,39.34453781512605
913278,119,48.38655462184874
865174,119,40.03361344537815
1014802,119,59.42016806722689
1003441,119,31.51260504201681
968936,118,41.58474576271186
946995,118,42.644067796610166
917033,118,39.313559322033896
905868,118,69.33050847457628
882830,118,75.39830508474576
859427,118,66.1864406779661
855468,118,64.71186440677967
845109,118,41.73728813559322
823775,118,29.864406779661017
5591154,118,47.644067796610166
1092303,118,68.80508474576271
1044259,118,20.71186440677966
983936,117,33.27350427350427
982790,117,72.62393162393163
945273,117,45.52136752136752
883202,117,48.794871794871796
824073,117,35.26495726495727
1025650,117,60.84615384615385
1018588,117,38.68376068376068
999714,116,53.939655172413794
950557,116,36.974137931034484
948254,116,55.91379310344828
895930,116,40.077586206896555
893651,116,40.98275862068966
873178,116,64.12931034482759
865891,116,55.706896551724135
829852,116,54.474137931034484
7466806,116,26.103448275862068
5995692,116,37.974137931034484
5586076,116,35.474137931034484
13945244,116,47.14655172413793
1024731,116,47.827586206896555
9881593,115,35.19130434782609
942525,115,61.45217391304348
905582,115,51.99130434782609
892920,115,78.52173913043478
5570383,115,57.052173913043475
12731714,115,58.14782608695652
1059902,115,60.417391304347824
977344,114,59.08771929824562
947201,114,35.39473684210526
896613,114,78.06140350877193
878715,114,35.40350877192982
839094,114,30.57894736842105
8090539,114,32.324561403508774
7409957,114,34.07017543859649
5578494,114,42.833333333333336
1064892,114,13.37719298245614
1021116,114,54.166666666666664
999134,113,61.61946902654867
937791,113,44.83185840707964
915349,113,42.84070796460177
913490,113,49.442477876106196
910673,113,63.902654867256636
905436,113,37.3716814159292
904236,113,60.50442477876106
1093359,113,32.424778761061944
1048483,113,33.56637168141593
961979,112,63.75
841309,112,55.625
822677,112,28.223214285714285
5587656,112,51.11607142857143
